Event Name,Venue Name,Event Date,Section,Row,Notes,Stock Type,Quantity,Price
New York Yankees vs. Baltimore Orioles,Yankee Stadium,"Mon, Apr 05 2021 6:35 PM",434B,1,XFER. Ready to ship by 4/3/2021,Electronic Transfer,1,27.00
New York Yankees vs. Baltimore Orioles,Yankee Stadium,"Mon, Apr 05 2021 6:35 PM",202,19,XFER. Ready to ship by 4/1/2021,Electronic Transfer,2,28.00
New York Yankees vs. Baltimore Orioles,Yankee Stadium,"Mon, Apr 05 2021 6:35 PM",420B,7,Mobile Entry Tickets. Must have smart device on hand to enter event. XFER. Ready to ship by 4/4/2021,Electronic Transfer,2,30.00
New York Yankees vs. Baltimore Orioles,Yankee Stadium,"Mon, Apr 05 2021 6:35 PM",410,3,Elite Seller - Has established a reputation for speedy confirmation and on-time delivery of orders!,Electronic Transfer,8,30.00
New York Yankees vs. Baltimore Orioles,Yankee Stadium,"Mon, Apr 05 2021 6:35 PM",235,3,Ready to ship by 4/3/2021.,FedEx Delivery,2,31.00
New York Yankees vs. Baltimore Orioles,Yankee Stadium,"Mon, Apr 05 2021 6:35 PM",411,3,Elite Seller - Has established a reputation for speedy confirmation and on-time delivery of orders!,Electronic Transfer,2,31.00
New York Yankees vs. Baltimore Orioles,Yankee Stadium,"Mon, Apr 05 2021 6:35 PM",423,4,XFER. Ready to ship by 4/3/2021,Electronic Transfer,4,32.00
New York Yankees vs. Baltimore Orioles,Yankee Stadium,"Mon, Apr 05 2021 6:35 PM",328,3,Xfer MOBILE ENTRY. Scan your tickets from your phone for this event. Do not print these tickets. Ready to ship by 4/3/2021,Electronic Transfer,2,32.00
New York Yankees vs. Baltimore Orioles,Yankee Stadium,"Mon, Apr 05 2021 6:35 PM",203,11,Seats 1 - 2. XFER Mobile Entry Tickets. Must have smart device on hand to enter event. Ready to ship by 3/29/2021,Electronic Transfer,2,32.00
New York Yankees vs. Baltimore Orioles,Yankee Stadium,"Mon, Apr 05 2021 6:35 PM",411,3,Elite Seller - Has established a reputation for speedy confirmation and on-time delivery of orders!,Electronic Transfer,8,32.00
New York Yankees vs. Baltimore Orioles,Yankee Stadium,"Mon, Apr 05 2021 6:35 PM",202,20,Seats 9 - 10. XFER Mobile Entry Tickets. Must have smart device on hand to enter event. Ready to ship by 4/4/2021,Electronic Transfer,2,32.00
New York Yankees vs. Baltimore Orioles,Yankee Stadium,"Mon, Apr 05 2021 6:35 PM",423,1,Seats 24 - 25. Mobile Entry Tickets. Must have smart device on hand to enter event. Actual 1st row of section. Aisle. Audi Yankees Club Access - Food and drink NOT included. Located in left field on the SAP Suite Level  features a cocktail bar  a dining lounge and high-definition televisions... Ready to ship by 4/3/2021,Electronic Transfer,2,33.00
New York Yankees vs. Baltimore Orioles,Yankee Stadium,"Mon, Apr 05 2021 6:35 PM",235,2,Ready to ship by 4/3/2021.,FedEx Delivery,4,33.00
New York Yankees vs. Baltimore Orioles,Yankee Stadium,"Mon, Apr 05 2021 6:35 PM",202,5,XFER. Ready to ship by 4/1/2021,Electronic Transfer,8,33.00
New York Yankees vs. Baltimore Orioles,Yankee Stadium,"Mon, Apr 05 2021 6:35 PM",411,2,Elite Seller - Has established a reputation for speedy confirmation and on-time delivery of orders!,Electronic Transfer,2,33.00
New York Yankees vs. Baltimore Orioles,Yankee Stadium,"Mon, Apr 05 2021 6:35 PM",419,1,Elite Seller - Has established a reputation for speedy confirmation and on-time delivery of orders!,Electronic Transfer,2,34.00
New York Yankees vs. Baltimore Orioles,Yankee Stadium,"Mon, Apr 05 2021 6:35 PM",424,1,Seats 1 - 4. Mobile Entry Tickets. Must have smart device on hand to enter event. Actual 1st row of section. Audi Yankees Club Access - Food and drink NOT included. Located in left field on the SAP Suite Level  features a cocktail bar  a dining lounge and high-definition televisions... Ready to ship by 4/3/2021,Electronic Transfer,4,34.00
New York Yankees vs. Baltimore Orioles,Yankee Stadium,"Mon, Apr 05 2021 6:35 PM",432A,1,Elite Seller - Has established a reputation for speedy confirmation and on-time delivery of orders!,Electronic Transfer,2,34.00
New York Yankees vs. Baltimore Orioles,Yankee Stadium,"Mon, Apr 05 2021 6:35 PM",328,1,Seats 21 - 24. XFER. Ready to ship by 3/26/2021,Electronic Transfer,4,35.00
New York Yankees vs. Baltimore Orioles,Yankee Stadium,"Mon, Apr 05 2021 6:35 PM",235,1,Ready to ship by 4/3/2021.,FedEx Delivery,2,36.00
New York Yankees vs. Baltimore Orioles,Yankee Stadium,"Mon, Apr 05 2021 6:35 PM",309,1,Seats 14 - 16. XFER Mobile Entry Tickets. Must have smart device on hand to enter event. Ready to ship by 3/29/2021,Electronic Transfer,3,36.00
New York Yankees vs. Baltimore Orioles,Yankee Stadium,"Mon, Apr 05 2021 6:35 PM",431B,1,Elite Seller - Has established a reputation for speedy confirmation and on-time delivery of orders!,Electronic Transfer,2,36.00
New York Yankees vs. Baltimore Orioles,Yankee Stadium,"Mon, Apr 05 2021 6:35 PM",423,5,Elite Seller - Has established a reputation for speedy confirmation and on-time delivery of orders!,Electronic Transfer,4,37.00
New York Yankees vs. Baltimore Orioles,Yankee Stadium,"Mon, Apr 05 2021 6:35 PM",423,5,Elite Seller - Has established a reputation for speedy confirmation and on-time delivery of orders!,Electronic Transfer,8,37.00
New York Yankees vs. Baltimore Orioles,Yankee Stadium,"Mon, Apr 05 2021 6:35 PM",237,7,Elite Seller - Has established a reputation for speedy confirmation and on-time delivery of orders!,Electronic Transfer,6,37.00
New York Yankees vs. Baltimore Orioles,Yankee Stadium,"Mon, Apr 05 2021 6:35 PM",423,1,Elite Seller - Has established a reputation for speedy confirmation and on-time delivery of orders!,Electronic Transfer,2,38.00
New York Yankees vs. Baltimore Orioles,Yankee Stadium,"Mon, Apr 05 2021 6:35 PM",312,6,Mobile Entry Tickets. Must have smart device on hand to enter event. XFER. Ready to ship by 4/4/2021,Electronic Transfer,2,38.00
